"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","4840000","4840000-203-2006-00001","2006-01-03","","03","폐업","02","폐업","2008-12-26","","","","","16.92","545-020","전라남도 광양시 도이동 781번지 (2층중1층)","","","바다이용원","2006-09-22 00:00:00","I","2026-02-03 01:35:10","일반이용업","262579.003544739","158908.698191389","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"2","이용업","05_19_01_P","5570000","5570000-203-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","39.63","368-908","충청북도 증평군 증평읍 창동리 208-2","충청북도 증평군 증평읍 역전로 17-1, 103호","27927","우프 바버샵","2026-02-02 10:29:07","I","2026-02-04 00:20:02","일반이용업","251616.905645057","364961.972336641","일반이용업","1","0","1","1","0","0","2","","","","임대","0","1","0","N",
"3","이용업","05_19_01_P","3970000","3970000-203-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","38.42","427-100","경기도 과천시 갈현동 813-5","경기도 과천시 과천대로7라길 25, 1층 102호 (갈현동)","13840","스트럭트 바버샵","2026-02-02 10:55:12","I","2026-02-04 00:20:02","일반이용업","","","일반이용업","1","0","0","0","0","0","1","","","","임대","0","0","0","N",
"4","이용업","05_19_01_P","3660000","3660000-203-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","0.00","302-817","대전광역시 서구 내동 18-34","대전광역시 서구 도솔로 270-1, 1층 일부호 (내동)","35313","유니헤어바버샵","2026-02-02 17:19:59","I","2026-02-04 00:20:02","일반이용업","233982.97197323","314807.385090744","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"5","이용업","05_19_01_P","3330000","3330000-203-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","0517310367","91.50","612-847","부산광역시 해운대구 중동 1378-18 해운대온천센터","부산광역시 해운대구 중동2로 16, 해운대온천센터 6층 일부호 (중동)","48096","포레 휘게스파","2026-02-02 16:33:48","I","2026-02-04 00:20:02","일반이용업","397143.069558553","187060.384178136","일반이용업","0","0","0","0","0","0","5","","","","","0","0","0","N",
"6","이용업","05_19_01_P","5530000","5770000-203-2022-00006","2022-06-17","","01","영업/정상","01","영업","","","","","","42.90","","경기도 화성시 동탄구 영천동  654-3 1층 일부호","경기도 화성시 동탄구 동탄대로21가길 4-14, 1층 일부호 (영천동)","","콤마(COMMA) 바버샵","2022-06-17 17:36:41","I","2026-02-04 01:35:23","일반이용업","208539.585822111","411709.797499739","일반이용업","0","0","1","0","0","0","2","","","","","0","0","0","N",
"7","이용업","05_19_01_P","5530000","5750000-203-2021-00015","2021-02-03","","03","폐업","02","폐업","2025-11-04","","","","","33.20","","경기도 화성시 효행구 봉담읍 수영리 690 중흥에스클래스 더 센트럴","경기도 화성시 효행구 봉담읍 상리3길 160, 218동 110호 (중흥에스클래스 더 센트럴)","","나이스가이 봉담2지구점","2025-11-04 14:01:52","I","2026-02-04 01:35:23","일반이용업","195393.618863907","413749.399069904","일반이용업","1","0","0","0","0","0","3","","","","","0","0","0","N",
"8","이용업","05_19_01_P","5530000","5770000-203-2023-00002","2023-02-06","","01","영업/정상","01","영업","","","","","","75.00","","경기도 화성시 동탄구 장지동  959-6","경기도 화성시 동탄구 동탄장지천5길 18, 1층 일부(101)호 (장지동)","","쓰리몽키즈 바버샵(Threemonkeys Barbershop)","2023-02-06 15:38:11","I","2026-02-04 01:35:23","일반이용업","209291.870550596","406285.873304751","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"9","이용업","05_19_01_P","5530000","5740000-203-2005-00020","2005-11-28","","03","폐업","02","폐업","2010-04-26","","","","031 3519700","13.00","","경기도 화성시 만세구 장안면 수촌리 24-2","","","식염온천이용원","2006-05-22 00:00:00","I","2026-02-04 01:35:23","일반이용업","188098.296167502","399066.93426623","일반이용업","2","2","1","1","0","0","3","","","","임대","0","0","0","N",
"10","이용업","05_19_01_P","5530000","5760000-203-2005-00011","2005-07-06","","01","영업/정상","01","영업","","","","","","","","경기도 화성시 병점구 병점동  292","경기도 화성시 병점구 병점중앙로 87 (병점동)","","구봉사우나","2005-12-29 00:00:00","I","2026-02-04 01:35:23","일반이용업","203667.667629099","411606.5982719","일반이용업","0","0","0","0","0","0","3","","","","임대","0","0","0","N",
"11","이용업","05_19_01_P","5530000","5750000-203-2005-00021","2005-12-29","","03","폐업","02","폐업","2006-05-29","","","","","0.00","","경기도 화성시 효행구 기안동  371-2","","","보보스스파랜드사우나","2005-12-29 00:00:00","I","2026-02-04 01:35:23","일반이용업","197695.648333333","413427.779666667","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"12","이용업","05_19_01_P","5530000","5740000-203-2005-00019","2005-11-16","","03","폐업","02","폐업","2025-04-21","","","","3533130","20.50","","경기도 화성시 만세구 향남읍 장짐리 282-15 현식이발관","경기도 화성시 만세구 향남읍 배터길 22 (현식이발관)","","현식이발관","2025-04-21 10:25:59","I","2026-02-04 01:35:23","일반이용업","191564.24910938","403494.689456184","일반이용업","1","0","0","1","0","0","3","","","","임대","0","0","0","N",
"13","이용업","05_19_01_P","5530000","5750000-203-2006-00001","2006-01-05","","03","폐업","02","폐업","2006-06-15","","","","","16.50","","경기도 화성시 효행구 기안동  338-3 (남수원씨티프라자 B01호)","","","참사랑(사)이발","2006-01-11 00:00:00","I","2026-02-04 01:35:23","일반이용업","197477.250805128","413796.17534958","일반이용업","0","0","0","0","1","0","3","","","","임대","0","0","0","N",
"14","이용업","05_19_01_P","5530000","5760000-203-2005-00010","2005-06-22","","03","폐업","02","폐업","2015-04-07","","","","2384750","33.00","","경기도 화성시 병점구 안녕동  38-1","경기도 화성시 병점구 효행로763번길 18 (안녕동)","","화산이발관","2005-11-01 00:00:00","I","2026-02-04 01:35:23","일반이용업","201180.996717059","411409.693584605","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"15","이용업","05_19_01_P","5530000","5770000-203-2021-00002","2021-03-08","","01","영업/정상","01","영업","","","","","","43.12","","경기도 화성시 동탄구 오산동  1020 동탄역 린스트라우스","경기도 화성시 동탄구 동탄대로 469-12, 1007호 (오산동, 동탄역 린스트라우스)","","덱스터바버샵","2021-03-08 14:57:29","I","2026-02-04 01:35:23","일반이용업","208577.797056397","410488.519320343","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"16","이용업","05_19_01_P","5530000","5740000-203-2021-00007","2021-06-07","","01","영업/정상","01","영업","","","","","031 80774746","59.28","","경기도 화성시 만세구 향남읍 행정리 486-4","경기도 화성시 만세구 향남읍 행정중앙2로 67, 1층 102호","","쿨가이(남성컷트점)","2023-11-24 11:47:04","I","2026-02-04 01:35:23","일반이용업","193057.472326432","403129.995628748","일반이용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"17","이용업","05_19_01_P","5530000","5770000-203-2021-00012","2021-09-24","","01","영업/정상","01","영업","","","","","031 3743336","50.92","","경기도 화성시 동탄구 영천동  678-5","경기도 화성시 동탄구 동탄순환대로 693, 대성메디컬프라자Ⅰ 1층 102호 (영천동)","","엘라운지바버샵","2021-09-24 15:09:15","I","2026-02-04 01:35:23","일반이용업","209741.306520949","411631.575397854","일반이용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"18","이용업","05_19_01_P","5530000","5760000-203-2021-00004","2021-04-29","","01","영업/정상","01","영업","","","","","","41.04","","경기도 화성시 병점구 병점동  347-13 1층 일부호","경기도 화성시 병점구 병점로 14, 1층 일부호 (병점동)","","세븐이용원","2024-02-21 11:43:57","I","2026-02-04 01:35:23","일반이용업","203197.781444561","411906.261224151","일반이용업","1","0","0","0","0","0","2","","","","","0","0","0","N",
"19","이용업","05_19_01_P","5530000","5770000-203-2021-00009","2021-06-22","","03","폐업","02","폐업","2024-01-18","","","","07086729681","30.00","","경기도 화성시 동탄구 반송동  128-24 1층 101호","경기도 화성시 동탄구 노작로3길 28, 1층 일부호 (반송동)","","레드폴바버샵 동탄점","2024-01-18 14:00:13","I","2026-02-04 01:35:23","일반이용업","206893.077353909","410470.213490356","일반이용업","0","0","1","1","0","0","2","","","","","0","0","0","N",
"20","이용업","05_19_01_P","5530000","5760000-203-2024-00009","2024-06-17","","03","폐업","02","폐업","2025-08-21","","","","","45.79","","경기도 화성시 병점구 병점동  348-4 그린씨티 109호","경기도 화성시 병점구 병점3로 24, 그린씨티 109호 (병점동)","","88헤어","2025-08-21 17:19:45","I","2026-02-04 01:35:23","일반이용업","203148.887865905","411762.460098087","일반이용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"21","이용업","05_19_01_P","5530000","5770000-203-2010-00006","2010-06-07","","03","폐업","02","폐업","2015-05-18","","","","","16.20","","경기도 화성시 동탄구 반송동  107-2 (7층)","경기도 화성시 동탄구 동탄중심상가1길 8 (반송동,(7층))","","워터이용실","2012-12-28 11:00:13","I","2026-02-04 01:35:23","일반이용업","206320.850464476","410914.936306015","일반이용업","0","0","7","7","0","0","3","","","","임대","0","0","0","N",
"22","이용업","05_19_01_P","5530000","5750000-203-2010-00007","2010-06-15","","03","폐업","02","폐업","2014-02-11","","","","","26.40","","경기도 화성시 효행구 정남면 제기리 368-1","경기도 화성시 효행구 정남면 발안로 997","","까치이발관","2010-06-15 12:54:53","I","2026-02-04 01:35:23","일반이용업","201003.422793948","403052.570528959","일반이용업","0","0","1","1","0","0","3","","","","임대","0","0","0","N",
"23","이용업","05_19_01_P","5530000","5760000-203-2006-00011","2006-09-11","","03","폐업","02","폐업","2021-10-07","","","","031 2232625","40.95","","경기도 화성시 병점구 병점동  300 (105호)","경기도 화성시 병점구 병점중앙로 100-11 (병점동, 300번지 1층 일부)","","주공이용원","2021-10-07 11:53:36","I","2026-02-04 01:35:23","일반이용업","203721.92026147","411766.890474009","일반이용업","0","0","1","1","0","0","3","","","","임대","0","0","0","N",
"24","이용업","05_19_01_P","5530000","5740000-203-2006-00002","2006-02-22","","03","폐업","02","폐업","2007-01-09","","","","031 3553868","34.00","","경기도 화성시 만세구 마도면 석교리 212-1","","","세종이용원","2006-02-22 00:00:00","I","2026-02-04 01:35:23","일반이용업","179925.365541035","411559.388661267","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"25","이용업","05_19_01_P","5530000","5740000-203-2006-00003","2006-03-24","","03","폐업","02","폐업","2022-12-26","","","","","26.40","","경기도 화성시 만세구 팔탄면 구장리 10-1","경기도 화성시 만세구 팔탄면 시청로 933","","백두산이발관","2022-12-26 13:17:28","I","2026-02-04 01:35:23","일반이용업","190405.588223922","407518.056551529","일반이용업","1","0","0","0","0","0","2","","","","","0","0","0","N",
"26","이용업","05_19_01_P","5530000","5760000-203-2006-00010","2006-09-04","","03","폐업","02","폐업","2008-12-04","","","","","40.00","","경기도 화성시 병점구 진안동  824-5","","","머리사랑 이발관","2006-09-04 00:00:00","I","2026-02-04 01:35:23","일반이용업","202868.221576548","411794.114566031","일반이용업","0","0","1","0","0","0","3","","","","임대","0","0","0","N",
"27","이용업","05_19_01_P","5530000","5740000-203-2006-00004","2006-05-15","","01","영업/정상","01","영업","","","","","","13.00","","경기도 화성시 만세구 송산면 사강리 693-5 송산24시사우나","경기도 화성시 만세구 송산면 사강시장길25번길 14 (송산24시사우나)","","송산이용원","2007-06-26 00:00:00","I","2026-02-04 01:35:23","일반이용업","176320.985244191","412469.44912472","일반이용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"28","이용업","05_19_01_P","5530000","5770000-203-2018-00002","2018-02-27","","03","폐업","02","폐업","2019-07-08","","","","","39.39","","경기도 화성시 동탄구 반송동  14-5 1층(101호) 일부호","경기도 화성시 동탄구 동탄시범한빛길 39, 1층 일부호 (반송동)","","태후사랑","2019-07-08 11:04:07","I","2026-02-04 01:35:23","이용업 기타","205949.460573767","412029.728528015","이용업 기타","0","0","1","1","0","0","2","","","","","0","0","0","N",
