"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","위탁급식영업","07_21_01_P","4080000","4080000-120-2026-00001","2026-01-29","","01","영업/정상","01","영업","","","","","02 5893530","894.53","456-833","경기도 안성시 대덕면 무능리 2 다동 1층","경기도 안성시 대덕면 소동산길 3-29, 나동(부1) 1층","17541","동원홈푸드 로지포트안성","2026-02-01 15:43:50","U","2026-02-03 02:40:00","위탁급식영업","220801.813978156","393997.022325126","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","894.53","","","",
"2","위탁급식영업","07_21_01_P","3240000","3240000-120-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","107.21","134-874","서울특별시 강동구 천호동 454-1 이마트","서울특별시 강동구 천호대로 1017, 이마트 6층 (천호동)","05328","본우리집밥 이마트 천호점","2026-02-02 15:26:51","I","2026-02-04 00:20:02","위탁급식영업","211025.924972294","448495.189151526","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","107.21","","","",
"3","위탁급식영업","07_21_01_P","4170000","4170000-120-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","136.21","476-913","경기도 양평군 강상면 병산리 796-5","경기도 양평군 강상면 강상로 135, 지하1층","12571","온정푸드","2026-02-02 14:18:57","I","2026-02-04 00:20:02","위탁급식영업","240591.769119275","442288.295114106","위탁급식영업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","136.21","","","",
"4","위탁급식영업","07_21_01_P","4181000","4181000-120-2026-00003","2026-02-02","","01","영업/정상","01","영업","","","","","","925.00","","강원특별자치도 춘천시 근화동 808","강원특별자치도 춘천시 영서로 2491, 5층 (근화동)","24238","(주)에스피씨지에프에스 한국고용정보","2026-02-02 10:09:04","I","2026-02-04 00:20:02","위탁급식영업","262530.685197535","486783.215058785","위탁급식영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","925","","","",
"5","위탁급식영업","07_21_01_P","3130000","3130000-120-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","135.00","121-030","서울특별시 마포구 신공덕동 173 대우 월드마크 마포","서울특별시 마포구 백범로 212, 지하2층 (신공덕동, 대우 월드마크 마포)","04196","본우리집밥 이마트 마포점","2026-02-02 14:35:20","I","2026-02-04 00:20:02","위탁급식영업","195808.904523588","448910.741283532","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","135","","","",
"6","위탁급식영업","07_21_01_P","4490000","5660000-120-2026-00003","2026-02-02","","01","영업/정상","01","영업","","","","","","300.00","331-807","충청남도 천안시 서북구 성환읍 율금리 777-19 일반공장","충청남도 천안시 서북구 성환읍 왕지1길 51, 2동 1층","31009","쿡앤하임에이테크천안점","2026-02-02 16:51:28","I","2026-02-04 00:20:02","위탁급식영업","208228.910026097","377980.531118204","위탁급식영업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","300","","","",
"7","위탁급식영업","07_21_01_P","5530000","5740000-120-2026-00005","2026-02-02","","01","영업/정상","01","영업","","","","","","183.75","","경기도 화성시 만세구 장안면 금의리 601-44","경기도 화성시 만세구 장안면 수정고개길202번길 151-18, D동 1층 일부호","","주식회사 동원홈푸드","2026-02-02 17:46:38","I","2026-02-04 00:20:02","위탁급식영업","","","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","183.75","","","",
"8","위탁급식영업","07_21_01_P","5530000","5740000-120-2026-00006","2026-02-02","","01","영업/정상","01","영업","","","","","","454.50","","경기도 화성시 만세구 팔탄면 덕우리 331","경기도 화성시 만세구 팔탄면 온천로 157-15, 1동 1층 일부호","","(주)하나기술","2026-02-02 17:59:29","I","2026-02-04 00:20:02","위탁급식영업","187569.78962163","403959.164723384","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","454.5","","","",
"9","위탁급식영업","07_21_01_P","5530000","5750000-120-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","216.00","","경기도 화성시 효행구 정남면 고지리 123-1 에이테크 솔루션 5동 1층 일부","경기도 화성시 효행구 정남면 가장로 277, 에이테크 솔루션 5동 1층 일부","","에이테크 솔루션","2026-02-02 16:33:44","I","2026-02-04 00:20:02","위탁급식영업","200877.713525311","407026.82460402","위탁급식영업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","216","","","",
"10","위탁급식영업","07_21_01_P","5530000","5740000-120-2021-00014","2021-03-31","","03","폐업","02","폐업","2023-08-04","","","","031 718 5909","350.46","","경기도 화성시 만세구 양감면 대양리 1107","경기도 화성시 만세구 양감면 은행나무로 456, 1층 일부","","(주)에스에이치푸드제일산업점","2023-08-04 15:52:55","I","2026-02-04 01:35:23","위탁급식영업","194616.02985413","399667.68509288","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","350.46","","","",
