"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","4840000","4840000-122-2008-00002","2008-04-03","","03","폐업","02","폐업","2015-01-16","","","","061 795 0555","199.51","545-020","전라남도 광양시 도이동 789-6","전라남도 광양시 지동길 30-45 (도이동)","57767","(주)백운그린푸드","2011-04-11 16:42:29","I","2026-02-03 01:35:10","집단급식소 식품판매업","262223.249916317","160007.89500868","집단급식소 식품판매업","0","0","","","상수도전용","0","2","1","1","0","자가","0","0","N","0","","","",
"2","집단급식소식품판매업","07_22_01_P","3560000","3560000-122-2026-00005","2026-01-30","","01","영업/정상","01","영업","","","","","","60.00","404-290","인천광역시 서구 왕길동 596-1","인천광역시 서구 원당대로301번길 2, 103, 104호 (왕길동)","22661","샤인에프에스","2026-01-30 10:27:06","I","2026-02-03 01:35:10","집단급식소 식품판매업","167764.645413906","454024.186542374","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","60","","","",
"3","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2008-00009","2008-09-10","","03","폐업","02","폐업","2010-01-14","","","","","32.40","","강원특별자치도 삼척시 남양동 55-5 중앙시장 145,167호","","","경부상회","2008-09-10 14:44:54","I","2026-02-03 01:35:10","집단급식소 식품판매업","391560.758435304","439895.95106661","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2015-00001","2015-06-10","","03","폐업","02","폐업","2016-01-07","","","","033 5731151","222.20","","강원특별자치도 삼척시 등봉동 44","강원특별자치도 삼척시 오십천로 43 (등봉동)","25907","주식회사백봉령","2015-12-30 15:15:00","I","2026-02-03 01:35:10","집단급식소 식품판매업","388147.172060235","440026.341259937","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","99.18","","","",
"5","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2008-00012","2008-11-24","","03","폐업","02","폐업","2012-06-25","","","","003305727365","93.02","","강원특별자치도 삼척시 사직동 50-16","강원특별자치도 삼척시 중앙로 12-2 (사직동)","25930","역전청과","2011-11-11 15:17:05","I","2026-02-03 01:35:10","집단급식소 식품판매업","392715.835122002","438747.721382659","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"6","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2009-00001","2009-01-14","","03","폐업","02","폐업","2021-07-28","","","","003305721107","36.00","","강원특별자치도 삼척시 사직동 50-6","강원특별자치도 삼척시 중앙로 10 (사직동)","25930","번개상회","2021-07-28 16:13:00","I","2026-02-03 01:35:10","집단급식소 식품판매업","392789.177033711","438738.512234912","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2008-00013","2008-12-26","","03","폐업","02","폐업","2010-12-09","","","","003305755245","66.07","","강원특별자치도 삼척시 남양동 332-7","","","오빠네야채가게","2008-12-29 21:58:14","I","2026-02-03 01:35:10","집단급식소 식품판매업","391807.977075657","439926.409619748","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2009-00002","2009-01-15","","03","폐업","02","폐업","2011-11-18","","","","003305732856","122.00","","강원특별자치도 삼척시 마달동 72-1","","","청정원케터링삼척","2009-01-15 17:20:06","I","2026-02-03 01:35:10","집단급식소 식품판매업","390662.258005238","441027.710275874","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"9","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2010-00001","2010-02-02","","01","영업/정상","01","영업","","","","","033 5745465","24.36","","강원특별자치도 삼척시 남양동 55-5 중앙시장 145, 167호","강원특별자치도 삼척시 진주로 12-21, B동 145,167호 (남양동, 중앙시장)","25920","경부상회","2013-07-23 21:51:45","I","2026-02-03 01:35:10","집단급식소 식품판매업","391554.434447351","439972.918024365","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"10","집단급식소식품판매업","07_22_01_P","4241000","4241000-122-2011-00001","2011-12-12","","01","영업/정상","01","영업","","","","","033 581 3634","37.70","","강원특별자치도 삼척시 도계읍 흥전리 83-35","강원특별자치도 삼척시 도계읍 흥전길 120","25950","푸른유통","2019-03-18 15:36:32","I","2026-02-03 01:35:10","집단급식소 식품판매업","381284.982857809","415304.408279486","집단급식소 식품판매업","0","0","","","상수도전용","0","0","1","2","0","","0","0","N","0","","","",
