"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","제재업","09_27_03_P","5530000","553000090201300003","2013-10-01","","01","영업/정상","1","정상","","","","","","","","경기도 화성시 만세구 남양읍 무송리 ***-*","","445-020","(주)서경산업(1종)","2013-10-01 18:01:40","I","2026-02-04 01:35:23","","186640.103327806","408490.659943822","제재업","1종","","2014.5.26일까지 확보계획","0","40","영업",
"2","제재업","09_27_03_P","5690000","569000090201600003","2016-12-21","","01","영업/정상","1","정상","","","","","044-862-7571","","","세종특별자치시 어진동 *** 세종비지니스센터, 세종세무서","세종특별자치시 가름로 ***, 세종비지니스센터, 세종세무서 B동 ***호 (어진동)","30121","주식회사 대왕(1종)","2026-02-02 14:49:43","U","2026-02-04 02:40:00","","223663.463627093","332767.324869772","제재업","1종","제재목","2명","0","0","영업",
"3","제재업","09_27_03_P","5440000","544000090201600003","2016-08-26","","03","폐업","3","폐업","","","","","882-8018","","","","경상남도 하동군 옥종면 옥단로 ***","","옥종제재소(1종)","2026-02-02 10:35:03","U","2026-02-04 02:40:00","","280286.893307067","186327.769739369","제재업","1종","제재목","","0","0","폐업",
"4","제재업","09_27_03_P","3560000","356000090201300189","2014-02-18","","03","폐업","3","폐업","","","","","","","","","인천광역시 서구 중봉대로 *** (경서동)","404-170","(주)두원종합물류(1종)","2026-02-02 21:04:56","U","2026-02-04 02:40:00","","168947.538795033","449838.276475854","제재업","1종","수출용목상자","","450","50","폐업",
"5","제재업","09_27_03_P","4900000","490000090201700001","2017-03-08","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 능주면 능주농공길 **-*","","(주)대호지엔티(1종)","2026-02-02 11:45:09","U","2026-02-04 02:40:00","","196581.180897999","164721.925867524","제재업","1종","판재, 각재","임산가공기사1외 3","3000","50","폐업",
"6","제재업","09_27_03_P","4900000","490000090201300010","2013-12-04","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 능주면 능주농공길 **","","***(2종)","2026-02-02 11:43:39","U","2026-02-04 02:40:00","","196429.746164684","164691.386606948","제재업","2종","","","0","0","폐업",
"7","제재업","09_27_03_P","4900000","490000090201500001","2015-03-31","","01","영업/정상","1","정상","","","","","","","","전라남도 화순군 이양면 품평리 ****-*","전라남도 화순군 이양면 이양농공길 **","58165","대한임업(주)(1종)","2026-02-02 09:12:46","U","2026-02-04 02:40:00","","199067.008056219","155910.665240519","제재업","1종","","","0","0","영업",
"8","제재업","09_27_03_P","4900000","490000090202100002","2021-07-12","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 동복면 오지호로 **, 동원제재소","58102","***(1종)","2026-02-02 11:46:47","U","2026-02-04 02:40:00","","210365.372126857","173715.782728173","제재업","1종","단판, 루바, 제재목","교육이수","600","30","폐업",
"9","제재업","09_27_03_P","4890000","489000090202300001","2023-01-30","","03","폐업","3","폐업","","","","","061-853-3285","","","전라남도 보성군 미력면 도개리 ***-*","전라남도 보성군 미력면 농공길 **","59443","(주)우리이엔씨(1종)","2026-02-02 13:43:29","U","2026-02-04 02:40:00","","208115.300132176","144083.120656657","제재업","1종","방부목, 말라스, 멀바우 등","대표 이성교 등 12명","1000","1024","폐업",
"10","제재업","09_27_03_P","4301000","430100090201600002","2016-03-14","","01","영업/정상","1","정상","","","","","033-458-2313","","","","강원특별자치도 철원군 김화읍 외골길 **-*, 오리코스포텍(주)","24055","***(1종)","2026-01-30 15:45:31","U","2026-02-04 11:04:37","","235597.111890041","527162.301209902","제재업","1종","","","0","0","영업",
