침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,0,,0,살롱드 다다,일반미용업,4,2026-04-02,,,,212989.919298235,457585.705431746,2026-04-03 03:03:03,U,02,폐업,0,2026-04-02 09:13:18,2021-12-27,46.38,,경기도 남양주시 다산동 6079 101호,N,0,3990000-211-2021-00050,3990000,"경기도 남양주시 다산순환로 118-83, 101호 (다산동)",12248,03,폐업,일반미용업,,,,,
0,0,,0,Sweet Comb (스윗콤),일반미용업,3,2026-04-02,,,,180163.861984607,445118.398737124,2026-04-03 03:03:03,U,02,폐업,0,2026-04-02 14:07:25,2022-04-07,32.77,,경기도 부천시 원미구 중동 1293-1 래미안 부천 중동 113동 123호,N,0,3871000-211-2022-00027,3860000,"경기도 부천시 원미구 신흥로276번길 15, 113동 123호 (중동, 래미안 부천 중동)",14533,03,폐업,일반미용업,,0,0,0,0
,20,임대,8,요셉헤어존,일반미용업,6,,,,,205496.329962005,443515.70221107,2026-04-03 03:03:03,U,01,영업,,2026-04-02 16:37:42,2007-09-04,30.30,135-836,서울특별시 강남구 대치동 507-2 대치퍼스트빌딩,N,,3220000-211-2007-00006,3220000,"서울특별시 강남구 삼성로 155, 대치퍼스트빌딩 지하1층 제비103-2호 (대치동)",06291,01,영업/정상,일반미용업,02-2040-7575,0,1,0,1
,,,,하무네일,네일아트업,3,2026-04-02,,,,180267.898832944,461012.655830934,2026-04-03 03:03:03,U,02,폐업,,2026-04-02 09:16:33,2025-03-12,14.00,410-837,경기도 고양시 일산동구 장항동 895-1 우신프라자 506호,N,,3960100-215-2025-00003,3940000,"경기도 고양시 일산동구 장백로 184, 우신프라자 506(일부)호 (장항동)",10414,03,폐업,네일미용업,,,,,
1,2,임대,1,라벨르(la-belle),네일아트업,1,2026-04-02,,,,239461.390091394,419701.557736528,2026-04-03 03:03:03,U,02,폐업,1,2026-04-02 13:09:59,2018-06-11,6.09,467-800,경기도 이천시 중리동 213 이천 라온팰리스,N,0,4070000-226-2018-00003,4070000,"경기도 이천시 중리천로 76, 1층 103호 (중리동, 이천 라온팰리스)",17374,03,폐업,"피부미용업, 네일미용업, 화장ㆍ분장 미용업",031-633-0789,1,0,1,0
1,0,임대,0,브로우선뷰티 왁싱&눈썹&속눈썹,메이크업업,1,,,,,205603.906155469,451700.05859148,2026-04-03 03:03:03,U,01,영업,1,2026-04-02 10:53:29,2025-05-15,6.00,130-837,서울특별시 동대문구 장안동 191-5,N,0,3050000-213-2025-00003,3050000,서울특별시 동대문구 답십리로64길 130 (장안동),02627,01,영업/정상,종합미용업,,1,,1,
0,0,임대,0,봄헤어&북살롱,일반미용업,3,,,,,209888.189038186,431354.372500275,2026-04-03 03:03:03,U,01,영업,0,2026-04-02 15:15:02,2017-02-14,45.98,463-420,경기도 성남시 분당구 백현동 582-2 지하1층,N,0,3810000-211-2017-00005,3780000,"경기도 성남시 분당구 판교역로2번길 9, 지하1층 (백현동)",13536,01,영업/정상,일반미용업,,40,0,4,0
3,0,,0,이로울뷰티,네일아트업,11,,,,,168426.346611256,432497.041372052,2026-04-03 03:03:03,U,01,영업,0,2026-04-02 14:48:33,2024-09-02,62.68,406-081,인천광역시 연수구 송도동 22-12 송도 센트럴파크 리버리치 203일부호,N,0,3520000-213-2024-00019,3520000,"인천광역시 연수구 해돋이로171번길 11, 지상2층 203일부호 (송도동, 송도 센트럴파크 리버리치)",22003,01,영업/정상,종합미용업,,0,0,0,0
3,0,임대,0,하얀미인,피부미용업,0,2026-04-02,,,,211199.659717327,448073.083641886,2026-04-03 03:03:03,U,02,폐업,0,2026-04-02 14:01:06,2016-04-12,26.44,134-840,서울특별시 강동구 성내동 27-11 1층,N,0,3240000-212-2016-00016,3240000,"서울특별시 강동구 천호옛12길 55, 1층 (성내동)",05384,03,폐업,피부미용업,,1,,1,
0,0,임대,0,이훈 ALL 30000,일반미용업,14,2026-04-02,,,,204704.038049398,451464.429154026,2026-04-03 03:03:03,U,02,폐업,0,2026-04-02 15:27:55,2017-05-25,212.00,133-848,서울특별시 성동구 용답동 63-2 2층,N,0,3030000-211-2017-00023,3030000,"서울특별시 성동구 천호대로 304, 2층 (용답동)",04804,03,폐업,일반미용업,,2,,2,
2,0,,0,더바디스Ⅱ,피부미용업,0,,,,,212556.476317272,441263.937106941,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:46:12,2024-08-07,61.90,461-210,경기도 성남시 수정구 창곡동 509 창곡동 509번지 주건축물제1동 406호,N,,3790000-212-2024-00010,3780000,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 주건축물제1동 4층 406호 (창곡동)",13640,01,영업/정상,피부미용업,,0,0,0,0
1,0,,0,아이블링,일반미용업,2,,,,,167050.135580037,459620.137896978,2026-04-03 03:03:03,U,01,영업,0,2026-04-02 11:41:59,2019-03-18,14.38,415-080,경기도 김포시 구래동 6892-11,N,0,4090000-225-2019-00001,4090000,"경기도 김포시 김포한강9로12번길 7-2, 101호 (구래동)",10070,01,영업/정상,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",,1,0,1,0
