영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,풍경샘어린이집,어린이집,,,,2026-04-03 03:03:03,U,01,영업,19.59,,,,,,0,0,,2026-04-02 15:13:45,2026-03-17,23.86,,강원특별자치도 원주시 무실동 2025 제일풍경채 원주무실,N,,4191000-105-2026-00002,0,4191000,"강원특별자치도 원주시 무실로 353, 주민공동시설1동 지하1층 (무실동, 제일풍경채 원주무실)",26393,01,영업/정상,어린이집,033-745-3533,,,상수도전용
,,화물기개조정비시설 샤프테크닉스케이 구내식당,기타 집단급식소,,,,2026-04-03 22:43:11,I,01,영업,523.02,,,,,,0,0,,2026-04-02 12:17:39,2026-04-02,523.02,400-340,인천광역시 중구 운서동 2957-12 3층,N,,3490000-105-2026-00005,0,3490000,,,01,영업/정상,기타 집단급식소,,,,
,,박명주 정형외과의원,병원,,170753.264140724,437809.065141609,2026-04-03 22:43:10,I,01,영업,159.87,,,,,,0,0,,2026-04-02 12:22:04,2026-04-02,159.87,,인천광역시 미추홀구 학익동 240-47 선정빌딩,N,,3510500-105-2026-00003,0,3510500,"인천광역시 미추홀구 학익소로 66, 선정빌딩 지하 1층 (학익동)",22221,01,영업/정상,병원,,,,상수도전용
,,브레인아이 어린이집,어린이집,,198539.315570306,423384.289844968,2026-04-03 21:43:02,I,01,영업,10.4,,,,,,0,0,,2026-04-02 16:26:19,2026-04-02,15.69,440-310,경기도 수원시 장안구 이목동 916 수원장안힐스테이트 보육시설,N,,3750000-105-2026-00003,0,3740000,"경기도 수원시 장안구 장안로359번길 20, 1층 (이목동, 수원장안힐스테이트)",16343,01,영업/정상,어린이집,,,,
,,A+다산365주야간보호센터,사회복지시설,,214999.580893325,456181.23698554,2026-04-03 21:13:00,I,01,영업,22.42,,,,,,0,0,,2026-04-02 16:49:42,2026-04-02,343.85,,"경기도 남양주시 다산동 6205-3 강산타워 주1동 603호 일부, 605호",N,,3990000-105-2026-00006,0,3990000,"경기도 남양주시 다산지금로16번길 87, 강산타워 주1동 603호 일부, 605호 (다산동)",12284,01,영업/정상,사회복지시설,,,,
,,대한적십자사,공공기관,,198873.417928405,450853.925204031,2026-04-03 03:03:03,U,01,영업,173.2,,,,,,,,,2026-04-02 16:32:40,2001-10-20,38.20,100-043,서울특별시 중구 남산동3가 32-2 대한적십자사,N,,3010000-105-2001-00147,,3010000,서울특별시 중구 소파로 145 (남산동3가),04629,01,영업/정상,공공기관,02-3705-3705,,,상수도전용
,,롯데쇼핑(주),산업체,,206217.434726027,448506.218743834,2026-04-03 03:03:03,U,01,영업,164.4,,,,,,,,,2026-04-02 17:57:51,2008-10-28,485.80,143-758,서울특별시 광진구 자양동 227-342,N,,3040000-105-2008-00008,,3040000,"서울특별시 광진구 능동로 92, 지하3층 (자양동)",05065,01,영업/정상,산업체,02-2218-2992,,,상수도전용
,,새샘어린이집,어린이집,,202996.660143924,460252.587115892,2026-04-03 03:03:03,U,01,영업,0,,,,,,0,0,,2026-04-02 16:35:35,2009-04-14,.00,132-920,서울특별시 도봉구 창동 628-11 새샘어린이집,N,,3090000-105-2009-00012,0,3090000,"서울특별시 도봉구 도봉로106길 36 (창동,새샘어린이집)",01460,01,영업/정상,어린이집,02-998-7796,,,상수도전용
,,구립하계실버센터,사회복지시설,,205596.695083587,458975.496774634,2026-04-03 03:03:03,U,01,영업,30,,,,,,0,0,,2026-04-02 14:37:16,2021-01-18,112.00,139-230,서울특별시 노원구 하계동 357 구립하계실버센터,N,,3100000-105-2021-00001,0,3100000,"서울특별시 노원구 한글비석로 4, 구립하계실버센터 (하계동)",01862,01,영업/정상,사회복지시설,02-975-9555,,,
기타,,(주)농심,산업체,,192804.463945488,443835.062731234,2026-04-03 03:03:03,U,01,영업,759.9,,,,0,기타,,0,,2026-04-02 11:14:16,1997-01-20,334.80,156-848,서울특별시 동작구 신대방동 370-1,N,0,3190000-105-1997-00041,,3190000,서울특별시 동작구 여의대방로 112 (신대방동),07057,01,영업/정상,산업체,02-820-8865,,,상수도전용
,,구립 예다움 보듬이 나눔이 어린이집,어린이집,,187192.762176913,442910.861402369,2026-04-03 03:03:03,U,01,영업,0,,,,,,,,,2026-04-02 10:43:01,2014-09-02,,152-816,서울특별시 구로구 개봉동 403-82,N,,3160000-105-2014-00017,,3160000,서울특별시 구로구 개봉로 29 (개봉동),08348,01,영업/정상,어린이집,02-2689-9760,,,상수도전용
,,주식회사 에스피씨지에프에스,산업체,,203232.499343574,442475.544561724,2026-04-03 03:03:03,U,01,영업,0,,,,,,0,0,,2026-04-02 16:33:06,2020-08-10,150.15,137-887,서울특별시 서초구 양재동 11-149 강남피타워 지하1층,N,,3210000-105-2020-00011,0,3210000,"서울특별시 서초구 남부순환로 2620, 강남피타워 지하1층 (양재동)",06737,01,영업/정상,산업체,,,,
기타,,롯데쇼핑(주)강남점,산업체,,204669.543366778,443873.621189048,2026-04-03 03:03:03,U,01,영업,717.5,,,,0,기타,,,,2026-04-02 16:01:43,2000-06-15,218.40,135-998,서울특별시 강남구 대치동 937-0 (지하3층),N,0,3220000-105-2000-00170,,3220000,"서울특별시 강남구 도곡로 401 (대치동,(지하3층))",06206,01,영업/정상,산업체,02-531-2780,,,상수도전용
유흥업소밀집지역,,롯데쇼핑(주)관악점,산업체,,193301.885808714,443151.561302292,2026-04-03 03:03:03,U,01,영업,636.77,,,,0,기타,,0,,2026-04-02 17:07:23,2001-02-27,155.04,151-830,서울특별시 관악구 봉천동 729-22,N,0,3200000-105-2001-00025,,3200000,서울특별시 관악구 봉천로 209 (봉천동),08708,01,영업/정상,산업체,02-2118-2500,,,상수도전용
,,효성어린이집,어린이집,,160380.707289383,444391.926636342,2026-04-03 03:03:03,U,01,영업,9.72,,,,,,,0,,2026-04-02 15:11:36,2005-08-29,9.72,400-841,인천광역시 중구 중산동 1285-1 정도사 내,N,,3490000-105-2005-00015,,3490000,"인천광역시 중구 백운로 34 (중산동,정도사 내)",22358,01,영업/정상,어린이집,032-746-6767,,,상수도전용
