사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
블랙빈 에어컨 및 블랙빈 농수산물,종합몰,,202337.478448146,414885.309713301,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 13:18:18,,2024-02-08,,경기도 수원시 권선구 곡반정동 *** 한솔아파트,2024376003430200224,인터넷,3740000,"경기도 수원시 권선구 동수원로**번길 **, ***동 ***호 (곡반정동, 한솔아파트)",16671,,01,영업/정상,,,
엠케이코리아트레이딩,기타,2026-04-09,203366.724958426,470574.726287741,2026-04-10 03:03:03,U,05,타시군구이관,2026-04-09 14:53:56,,2025-04-14,,경기도 의정부시 의정부동 ***-*,2025382023930200278,인터넷,3820000,"경기도 의정부시 둔야로**번길 **, ***호 (의정부동)",11649,,05,제외/삭제/전출,,,
해구대구,종합몰,,211262.93290433,418835.013735668,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 13:47:07,,2024-08-04,,경기도 용인시 기흥구 구갈동 ***-* 그랜드프라자,2024563001830205385,인터넷,4050000,"경기도 용인시 기흥구 강남동로 *, 그랜드프라자 ***-***호 (구갈동)",16978,,01,영업/정상,,,
(주) 윌비스,의류/패션/잡화/뷰티 건강/식품,,,,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 09:51:42,,2011-08-16,,서울특별시 송파구 문정동 ***-* 피엔에스 **,2011323019830201167,인터넷,3230000,"서울특별시 송파구 정의로*길 *, 피엔에스 ** **층 (문정동)",05835,,01,영업/정상,,,
이비지니스플라워(주),기타,,203392.793460583,440676.379919661,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 09:37:30,,2004-01-01,,서울특별시 서초구 양재동 ***,2020321015330203058,인터넷,3210000,"서울특별시 서초구 강남대로 **, 비*-**호 (양재동)",06774,,01,영업/정상,,,02-1588-9555
주식회사 디에잇,의류/패션/잡화/뷰티,,202468.165066889,446326.897013187,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 14:53:07,,2020-09-17,,서울특별시 강남구 논현동 **-* 구산빌딩,2020322024930201799,인터넷,3220000,"서울특별시 강남구 논현로 ***, *층 ***호 구산빌딩 (논현동)",06047,,01,영업/정상,,,
봄빛건강몰,종합몰,2026-04-09,201314.245103965,442859.39847353,2026-04-10 03:03:03,U,03,폐업처리,2026-04-09 11:09:03,,2025-03-18,,서울특별시 서초구 서초동 ****-** 제일빌딩,2025321015330200804,인터넷,3210000,"서울특별시 서초구 사임당로*길 **, 제일빌딩 *층 ***-**A호 (서초동)",06640,,03,폐업,,,
오앤에이치메티스코리아,종합몰 의류/패션/잡화/뷰티,2026-04-09,256290.371152252,441544.540050488,2026-04-10 03:03:03,U,05,타시군구이관,2026-04-09 16:51:18,,2025-04-02,,경기도 양평군 지평면 지평리 ***-*,2025417023230200752,인터넷,4170000,"경기도 양평군 지평면 지평시장*길 *, *층 ***-D**호",12541,,05,제외/삭제/전출,,,
보물섬투어,레져/여행/공연,,214202.035389784,451625.467060082,2026-04-10 03:03:03,U,01,정상영업,2026-04-09 18:22:39,,2024-12-12,,서울특별시 강동구 고덕동 **-** KX,2024324028930201997,"TV홈쇼핑, 인터넷, 기타",3240000,"서울특별시 강동구 고덕비즈밸리로*길 **, KX *층 ***호 (고덕동)",05203,,01,영업/정상,,,02-2003-2104
모스,의류/패션/잡화/뷰티,2026-04-09,188910.308728813,422022.405453979,2026-04-10 03:03:03,U,05,타시군구이관,2026-04-09 13:10:13,,2019-09-17,,경기도 안산시 상록구 본오동 ****번지 *호,2019393039630201530,인터넷,3930000,경기도 안산시 상록구 각골로*안길 ** (본오동),15534,2024-03-14,05,제외/삭제/전출,,,
