건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,임대,0,양심청소연구소,건물위생관리업,,,,,204526.560463057,453216.530098021,2026-04-16 22:21:53,I,01,영업,0,2026-04-15 14:14:51,2026-04-15,20.00,130-020,서울특별시 동대문구 전농동 129-42,N,0,3050000-206-2026-00005,3050000,"서울특별시 동대문구 서울시립대로 122, 4층 402-2호 (전농동)",02543,01,영업/정상,건물위생관리업,,4,,4,
0,,0,(주)캡스톤시설관리,건물위생관리업,,,,,191812.562959543,454686.2868335,2026-04-16 22:51:59,I,01,영업,0,2026-04-15 17:28:07,2026-04-15,38.40,122-888,서울특별시 은평구 신사동 200-32,N,2,3110000-206-2026-00002,3110000,"서울특별시 은평구 은평터널로 175, 지하1층 (신사동)",03440,01,영업/정상,건물위생관리업,,0,0,0,0
,,,프로종합관리(주),건물위생관리업,,,,,203362.056528557,444460.672759185,2026-04-16 22:21:54,I,01,영업,,2026-04-15 16:27:21,2004-02-27,196.65,135-915,서울특별시 강남구 역삼동 678-19 프로21빌딩,N,,3220000-206-2004-00053,3220000,"서울특별시 강남구 테헤란로29길 10, 프로21빌딩 7층 (역삼동)",06141,01,영업/정상,건물위생관리업,02-894-6136,,,,
0,임대,0,대성종합상사,건물위생관리업,,,,,207428.986542584,401941.943958121,2026-04-16 21:55:24,I,01,영업,0,2026-04-15 09:37:29,2026-04-15,92.40,451-862,경기도 평택시 진위면 청호리 272-8,N,0,3910029-206-2026-00005,3910000,"경기도 평택시 진위면 청호길 15, 2층",17709,01,영업/정상,건물위생관리업,,,,,
0,,0,디디케어,건물위생관리업,,,,,180878.941038538,424612.422892591,2026-04-16 21:51:52,I,01,영업,0,2026-04-15 15:58:19,2026-04-15,33.47,425-839,경기도 안산시 단원구 신길동 1229 리드 스마트스퀘어 지식산업센터 C-290호,N,1,3930000-206-2026-00008,3930000,"경기도 안산시 단원구 산단로 325, 리드 스마트스퀘어 지식산업센터 C-290호 (신길동)",15426,01,영업/정상,건물위생관리업,,,,,
1,,0,(주)베스트제이에이치,건물위생관리업,,,,,182710.478373604,431458.530005125,2026-04-16 21:51:50,I,01,영업,0,2026-04-15 11:03:31,2020-02-20,25.48,429-260,경기도 시흥시 광석동 481,N,0,4010000-206-2020-00020,4010000,"경기도 시흥시 시흥대로 500, 330호 (광석동)",14991,01,영업/정상,건물위생관리업,,1,,1,
0,,0,편안코퍼레이션,건물위생관리업,,,,,184880.326100561,411728.09430369,2026-04-16 21:51:51,I,01,영업,0,2026-04-15 11:22:43,2026-04-15,9.12,,경기도 화성시 만세구 남양읍 남양리 2043-13 1동 1층 일부호,N,0,5740000-206-2026-00010,5530000,"경기도 화성시 만세구 남양읍 역골중앙로100번길 12-17, 1동 1층 일부호",18271,01,영업/정상,건물위생관리업,,1,,1,
0,,0,에듀클린공사,건물위생관리업,,,,,174207.324314127,441536.594316468,2026-04-16 03:03:03,U,01,영업,0,2026-04-15 17:47:56,2026-03-19,19.92,403-849,인천광역시 부평구 십정동 578-3 2층 일부호,N,0,3540000-206-2026-00005,3540000,"인천광역시 부평구 경인로 737, 2층 일부호 (십정동)",21436,01,영업/정상,건물위생관리업,,0,0,0,0
0,,0,(주)그린에코시스템,건물위생관리업,,,,,179963.528648272,443305.210001312,2026-04-16 03:03:03,U,01,영업,,2026-04-15 09:56:42,2026-04-06,5.80,,경기도 부천시 원미구 심곡동 305-3 지하1층 일부,N,,3871000-206-2026-00004,3860000,"경기도 부천시 원미구 장말로 289, 지하1층 일부 (심곡동)",14611,01,영업/정상,건물위생관리업,,0,0,0,1
12,임대,2,주식회사 에이씨휴먼넷,건물위생관리업,,,,,194020.023177469,450426.583343697,2026-04-16 03:03:03,U,01,영업,,2026-04-15 13:47:47,2011-06-16,60.00,121-807,서울특별시 마포구 노고산동 49-31 농협중앙회,N,,3130000-206-2011-00016,3130000,"서울특별시 마포구 신촌로 66, 농협중앙회 11층 (노고산동)",04057,01,영업/정상,건물위생관리업,02-725-5512,11,0,11,0
,,,프로종합관리(주),건물위생관리업,2026-04-15,,,,191226.287379467,437914.06299827,2026-04-16 03:03:03,U,02,폐업,,2026-04-15 16:25:17,2004-02-27,,153-863,서울특별시 금천구 시흥동 984 [시흥대로 590] 시흥산업용재유통센타 1동 330호,N,,3170000-206-2004-00003,3170000,"서울특별시 금천구 시흥대로 97, 1동 330호 (시흥동,[시흥대로 590] 시흥산업용재유통센타)",08639,03,폐업,건물위생관리업,02-894-6136,,,,
0,,0,(주)삼경기업,건물위생관리업,,,,,192436.244584248,450800.37531156,2026-04-16 03:03:03,U,01,영업,2,2026-04-15 11:03:06,2024-03-06,105.00,121-846,서울특별시 마포구 성산동 239-9 중산빌딩,N,1,3130000-206-2024-00003,3130000,"서울특별시 마포구 성미산로 64, 중산빌딩 5층 (성산동)",03999,01,영업/정상,건물위생관리업,02-3141-0181,,,,
0,임대,0,주식회사 아데코코리아,건물위생관리업,,,,,204947.909039501,445035.104597245,2026-04-16 03:03:03,U,01,영업,,2026-04-15 12:04:30,2011-02-17,786.00,135-880,서울특별시 강남구 삼성동 157-27 브이플렉스,N,,3220000-206-2011-00050,3220000,"서울특별시 강남구 테헤란로 501, 브이플렉스 6층 (삼성동)",06168,01,영업/정상,건물위생관리업,02-6000-3800,6,0,6,0
0,,0,주식회사 케이티링스,건물위생관리업,,,,,189538.020935968,441982.427934953,2026-04-16 03:03:03,U,01,영업,0,2026-04-15 16:42:50,2023-08-03,132.60,153-776,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 809호,N,0,3170000-206-2023-00004,3170000,"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 B동 809호 (가산동)",08507,01,영업/정상,건물위생관리업,,,,,
0,,0,국제종합관리(주),건물위생관리업,,,,,175306.45991148,444361.271006513,2026-04-16 03:03:03,U,01,영업,,2026-04-15 15:58:26,1999-11-10,241.32,403-819,인천광역시 부평구 부평동 464-28 새마을금고 5층 501호 일부,N,,3540000-206-1999-00001,3540000,"인천광역시 부평구 부평대로 109, 새마을금고 5층 501호 일부호 (부평동)",21379,01,영업/정상,건물위생관리업,032-514-0770,0,0,0,0
0,,0,위레일테크(주),건물위생관리업,,,,,175306.45991148,444361.271006513,2026-04-16 03:03:03,U,01,영업,,2026-04-15 16:00:50,2024-03-19,44.00,403-819,인천광역시 부평구 부평동 464-28 새마을금고 5층 501호 일부호,N,,3540000-206-2024-00004,3540000,"인천광역시 부평구 부평대로 109, 새마을금고 5층 501호 일부호 (부평동)",21379,01,영업/정상,건물위생관리업,,0,0,0,0
