영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,(주)신세계푸드인재개발원,위탁급식영업,,215982.695987066,405393.909550718,2026-04-16 03:03:03,U,01,영업,16.92,,,,4,,,,,2026-04-15 14:25:27,2003-10-14,16.92,,경기도 용인시 처인구 남사읍 창리 산 43,N,0,5620000-120-2003-00020,,4050000,경기도 용인시 처인구 남사읍 화곡로 77,17116,01,영업/정상,위탁급식영업,031-339-1234,,,상수도전용
,,사조푸디스트주식회사금융투자협회점,위탁급식영업,,193532.84760291,446316.283253168,2026-04-16 03:03:03,U,01,영업,245,,,,,,,,,2026-04-15 15:40:35,2018-08-16,245.00,150-891,서울특별시 영등포구 여의도동 45-2 금투센터 지하1층 직원식당,N,,3180000-120-2018-00015,,3180000,"서울특별시 영등포구 의사당대로 143, 금투센터 지하1층 직원식당 (여의도동)",07332,01,영업/정상,위탁급식영업,02-761-7672,,,
,,사조푸디스트 주식회사 CCMM빌딩점,위탁급식영업,,193293.251953215,447448.342915454,2026-04-16 03:03:03,U,01,영업,323,,,,,,,,,2026-04-15 15:31:47,2019-02-15,323.00,150-869,서울특별시 영등포구 여의도동 12 C.C.M.M빌딩,N,,3180000-120-2019-00005,,3180000,"서울특별시 영등포구 여의공원로 101, C.C.M.M빌딩 지하3층 (여의도동)",07241,01,영업/정상,위탁급식영업,02-6181-3250,,,
,,그랜드하얏트인천점,위탁급식영업,,151916.378983327,437733.282970468,2026-04-16 03:03:03,U,01,영업,504.2,,,,,,,,,2026-04-15 12:10:18,2020-07-01,504.20,400-340,인천광역시 중구 운서동 2850-1 그랜드하얏트인천 이스트타워 지하1층,N,,3490000-120-2020-00009,,3490000,"인천광역시 중구 영종해안남로321번길 208, 그랜드하얏트인천 이스트타워 지하1층 (운서동)",22382,01,영업/정상,위탁급식영업,,,,상수도전용
,,라트 학원,위탁급식영업,,203683.260354891,442456.779128474,2026-04-16 22:13:17,I,01,영업,51.7,,,,,,,,,2026-04-15 10:39:10,2026-04-15,51.70,135-854,서울특별시 강남구 도곡동 514-2 유니북스빌딩,N,,3220000-120-2026-00012,,3220000,"서울특별시 강남구 논현로 164, 유니북스빌딩 4층 (도곡동)",06296,01,영업/정상,위탁급식영업,02-573-0575,,,
,,계절진미,위탁급식영업,,216329.063092431,466520.009214548,2026-04-16 22:16:49,I,01,영업,198,,,,,,,,,2026-04-15 16:09:14,2026-04-15,198.00,472-881,경기도 남양주시 오남읍 양지리 777-2 제1동 1층,N,,3990000-120-2026-00009,,3990000,"경기도 남양주시 오남읍 양지로대대울1길 15-24, 제1동 1층",12047,01,영업/정상,위탁급식영업,,,,
,,사조푸디스트(주) 소노캄비발디파크 홍천점,위탁급식영업,,260030.280736472,460691.714032464,2026-04-16 03:03:03,U,01,영업,775.63,,,,,,,,,2026-04-15 16:29:32,2022-02-28,775.63,,강원특별자치도 홍천군 서면 팔봉리 1290-2 대명비발디파크,N,,4251000-120-2022-00002,,4251000,"강원특별자치도 홍천군 서면 한치골길 262, B동(지하1층)",25102,01,영업/정상,위탁급식영업,02-3400-7696,,,전용상수도(특정시설의 자가용 수도)
,,사조푸디스트(주) 소노펠리체CC이스트점,위탁급식영업,,,,2026-04-16 03:03:03,U,01,영업,253.43,,,,,,,,,2026-04-15 16:10:41,2022-02-28,253.43,,강원특별자치도 홍천군 서면 팔봉리 산 277,N,,4251000-120-2022-00003,,4251000,"강원특별자치도 홍천군 서면 한치골길 541-123, 지하 1층",25101,01,영업/정상,위탁급식영업,02-3400-7696,,,전용상수도(특정시설의 자가용 수도)
,,사조푸디스트(주) 소노펠리체점,위탁급식영업,,260030.280736472,460691.714032464,2026-04-16 03:03:03,U,01,영업,140.85,,,,,,,,,2026-04-15 16:19:55,2022-02-28,140.85,,강원특별자치도 홍천군 서면 팔봉리 1290-2 대명비발디파크,N,,4251000-120-2022-00004,,4251000,"강원특별자치도 홍천군 서면 한치골길 262, 소노펠리체(지하1층)",25102,01,영업/정상,위탁급식영업,02-3400-7696,,,전용상수도(특정시설의 자가용 수도)
,,(주)동원홈푸드 엘아이지디펜스앤에어로스페이스,위탁급식영업,,211199.19511271,422900.687383872,2026-04-16 03:03:03,U,01,영업,119.46,,,,,,,,,2026-04-15 14:58:01,2026-01-07,119.46,446-506,경기도 용인시 기흥구 마북동 148-1 지하1층 연구소동 일부호,N,,5630000-120-2026-00001,,4050000,"경기도 용인시 기흥구 마북로 207, 연구소동 지하1층 일부호 (마북동)",16911,01,영업/정상,위탁급식영업,,,,상수도전용
