영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,(주) 보보스더쿡스,기타 식품제조가공업,,211003.942056927,477106.232760532,2026-04-16 03:03:03,U,01,영업,261.75,0,0,0,,,,0,,2026-04-15 11:33:57,2023-12-14,261.75,487-826,"경기도 포천시 소흘읍 이동교리 392-7 가동, 나동, 1층",N,,5600000-106-2023-00029,,5600000,"경기도 포천시 소흘읍 호국로 243-18, 가동, 나동 1층",11184,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,임대,주식회사 청어람푸드,기타 식품제조가공업,2026-04-15,211408.239952534,477624.740165479,2026-04-16 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-04-15 14:58:39,2014-07-15,55.75,487-826,경기도 포천시 소흘읍 이동교리 361,N,,5600000-106-2014-00018,,5600000,경기도 포천시 소흘읍 호국로 308-11,11184,03,폐업,기타 식품제조가공업,,,,상수도전용
,임대,콩물랑,기타 식품제조가공업,2026-04-15,160950.274334927,442847.452738572,2026-04-16 03:03:03,U,02,폐업,8.09,0,0,0,,,,0,,2026-04-15 09:37:44,2023-12-20,48.76,400-320,인천광역시 중구 중산동 1876-4 스카이에비뉴2 3층 309호,N,,3490000-106-2023-00009,,3490000,"인천광역시 중구 하늘중앙로225번길 20, 스카이에비뉴2 3층 309호 (중산동)",22402,03,폐업,기타 식품제조가공업,031-202-1022,,,상수도전용
,자가,(주)한스코리아,식품제조가공업,,154030.936938806,470053.186971397,2026-04-16 03:03:03,U,01,영업,6168.44,0,0,0,,,,0,,2026-04-15 15:41:39,2009-04-01,"7,068.44",417-805,인천광역시 강화군 강화읍 남산리 450,N,,3570000-106-2009-00004,,3570000,인천광역시 강화군 강화읍 충렬사로 103-16,23037,01,영업/정상,식품제조가공업,032-933-9114,,,상수도전용
,임대,티에스에프엔씨성남지점,식품제조가공업,2026-04-15,214988.077761293,436875.364849249,2026-04-16 03:03:03,U,02,폐업,51.2,0,0,0,,,,0,,2026-04-15 17:44:20,2012-03-14,124.80,462-806,경기도 성남시 중원구 상대원동 311-3 성남우림라이온스밸리1차 1115호,N,,3780000-106-2012-00061,,3780000,"경기도 성남시 중원구 둔촌대로457번길 27, 성남우림라이온스밸리1차 1115호 (상대원동)",13219,03,폐업,식품제조가공업,031-735-6378,,,상수도전용
,,아침주식회사 2공장,기타 식품제조가공업,2026-04-15,215625.64909708,436819.166080746,2026-04-16 03:03:03,U,02,폐업,262.4,0,0,0,,,,0,,2026-04-15 11:21:53,2019-06-10,816.30,462-807,경기도 성남시 중원구 상대원동 344-12 나동 1층(일부),N,,3780000-106-2019-00021,,3780000,"경기도 성남시 중원구 둔촌대로541번길 20, 나동 1층(일부) (상대원동)",13215,03,폐업,기타 식품제조가공업,031-745-0080,,,
,임대,덕소할머니식품 주식회사,기타 식품제조가공업,,226261.230038016,467233.567221385,2026-04-16 03:03:03,U,01,영업,119.91,0,0,0,,,,0,,2026-04-15 10:41:43,1996-10-10,427.67,472-851,경기도 남양주시 수동면 지둔리 412-17 1층 주2동,N,,3990000-106-1996-00005,,3990000,"경기도 남양주시 수동면 지둔로 267-17, 주2동 1층",12028,01,영업/정상,기타 식품제조가공업,031-511-8085,,,전용상수도(특정시설의 자가용 수도)
,,경원제분산업사,식품제조가공업,,229746.108930458,462176.810527102,2026-04-16 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-15 10:19:07,2001-06-29,178.48,472-844,경기도 남양주시 화도읍 답내리 565-2,N,,3990000-106-2001-00028,,3990000,경기도 남양주시 화도읍 경춘로2247번길 65,12188,01,영업/정상,식품제조가공업,,,,상수도전용
,자가,(주)동성식품,식품제조가공업,,217600.156033248,417599.436612553,2026-04-16 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-15 12:10:19,1986-03-21,"2,864.54",449-935,경기도 용인시 처인구 유방동 625 동성식품,N,,4050000-106-2000-00007,,4050000,"경기도 용인시 처인구 유림로 135, 동성식품 (유방동)",17042,01,영업/정상,식품제조가공업,031-335-2212,,,지하수전용
,자가,(주)마메든,식품제조가공업,,220279.877795455,419333.530632562,2026-04-16 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-15 16:55:55,2011-08-01,350.00,449-812,경기도 용인시 처인구 포곡읍 둔전리 84-3,N,,4050000-106-2011-00036,,4050000,경기도 용인시 처인구 포곡읍 포곡로234번길 16,17028,01,영업/정상,식품제조가공업,031-319-9222,,,상수도전용
,자가,선홍수산식품,기타 식품제조가공업,,233707.40605638,416643.060500506,2026-04-16 03:03:03,U,01,영업,137.5,4,12,0,,,,0,,2026-04-15 12:13:19,2021-07-21,504.76,467-813,경기도 이천시 마장면 이치리 317-24 1동,N,,4070000-106-2021-00005,,4070000,"경기도 이천시 마장면 서이천로228번길 72, 1동",17385,01,영업/정상,기타 식품제조가공업,031-633-3431,,,지하수전용
,자가,남일농산,식품제조가공업,,243473.539735543,408919.117869109,2026-04-16 03:03:03,U,01,영업,0,0,2,0,,,,0,,2026-04-15 16:42:55,2001-09-13,289.05,467-873,경기도 이천시 모가면 소사리 260-1,N,,4070000-106-2001-00009,,4070000,경기도 이천시 모가면 대월로261번길 13-40,17407,01,영업/정상,식품제조가공업,031-633-5992,,,간이상수도
