영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
아파트지역,,씨유안양석수연현점,편의점,2026-04-15,,,2026-04-16 03:03:03,U,02,폐업,7.7,,,,,,,,,2026-04-15 11:49:26,2019-04-30,7.70,430-809,경기도 안양시 만안구 석수동 485-8 안양석수하우스스토리 상가동,N,,3840000-104-2019-00028,,3830000,"경기도 안양시 만안구 연현로1번길 56, 안양석수하우스스토리 상가동 1층 102호 일부호 (석수동)",13903,03,폐업,편의점,031-471-0066,,,상수도전용
,,지에스(GS)25 뉴옥정린파밀리에점,편의점,,207375.47756596,481573.401028965,2026-04-16 03:03:03,U,01,영업,3.3,,,,,,,,,2026-04-15 10:05:46,2024-05-27,3.30,482-130,"경기도 양주시 옥정동 868 양주옥정 린파밀리에 근린생활시설B동 107, 108호 일부",N,,5590000-104-2024-00068,,5590000,"경기도 양주시 옥정서로5길 60, 근린생활시설B동 107,108호 일부호 (옥정동, 양주옥정 린파밀리에)",11469,01,영업/정상,편의점,,,,상수도전용
,,스마일꽈배기,기타 휴게음식점,2026-04-15,175411.593577176,433323.533492479,2026-04-16 03:03:03,U,02,폐업,31.5,,,,,,,,,2026-04-15 14:06:28,2023-03-23,31.50,405-825,인천광역시 남동구 논현동 632-2,N,,3530000-104-2023-00227,,3530000,"인천광역시 남동구 논고개로123번길 17, 1층 141호 (논현동)",21653,03,폐업,기타 휴게음식점,,,,
,,소울스노우,커피숍,,207373.50021477,445545.656024061,2026-04-16 03:03:03,U,01,영업,41,,,,,,,,,2026-04-15 09:40:18,2023-06-23,11.89,138-908,서울특별시 송파구 잠실동 19-9 잠실파인애플상가,N,,3230000-104-2023-00266,,3230000,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 지하1층 A51호 (잠실동)",05501,01,영업/정상,커피숍,,,,
,,혜과자,기타 휴게음식점,2026-04-15,195101.241185591,449552.899169992,2026-04-16 03:03:03,U,02,폐업,6,,,,,,,,,2026-04-15 13:48:11,2024-12-27,6.00,121-872,서울특별시 마포구 염리동 82-7,N,,3130000-104-2024-00326,,3130000,"서울특별시 마포구 숭문길 39, 1층 좌측호 (염리동)",04137,03,폐업,기타 휴게음식점,,,,
,,오프리쉬,커피숍,,181441.369587194,486918.875222875,2026-04-16 03:03:03,U,01,영업,331.83,,,,,,,,,2026-04-15 09:21:48,2020-08-31,331.83,413-901,경기도 파주시 문산읍 운천리 4-10,N,,4060000-104-2020-00208,,4060000,"경기도 파주시 문산읍 임진나루길 196-41, 1동",10808,01,영업/정상,커피숍,070-4187-8806,,,지하수전용
,,라구나비치,기타 휴게음식점,,350315.951227426,504467.89428754,2026-04-16 03:03:03,U,01,영업,74.1,,,,,,,,,2026-04-15 14:27:27,2023-11-10,74.10,,강원특별자치도 양양군 현북면 중광정리 500-1,N,,4351000-104-2023-00063,,4351000,,,01,영업/정상,기타 휴게음식점,,,,
,,하우앤업,커피숍,,203551.492420301,470344.155488904,2026-04-16 03:03:03,U,01,영업,47.92,,,,,,,,,2026-04-15 15:11:16,2025-03-06,47.92,480-849,경기도 의정부시 의정부동 556-7,N,,3820000-104-2025-00039,,3820000,"경기도 의정부시 범골로142번길 5, 지상1층 (의정부동)",11653,01,영업/정상,커피숍,,,,상수도전용
,,벌크커피 인천작전점,커피숍,,175685.239764556,447786.907346492,2026-04-16 03:03:03,U,01,영업,19.8,,,,,,,,,2026-04-15 17:25:29,2024-04-18,19.80,407-824,인천광역시 계양구 작전동 862-51,N,,3550000-104-2024-00036,,3550000,"인천광역시 계양구 봉오대로691번길 13, 1층 일부호 (작전동)",21091,01,영업/정상,커피숍,,,,
,,티엠포(Tiempo),커피숍,2026-04-15,179348.878402802,470070.024606608,2026-04-16 03:03:03,U,02,폐업,92.25,,,,,,,,,2026-04-15 13:59:05,2021-04-22,92.25,413-190,경기도 파주시 와동동 1484 운정한강듀클래스,N,,4060000-104-2021-00104,,4060000,"경기도 파주시 가람로116번길 107, 운정한강듀클래스 1층 106,107호 (와동동)",10896,03,폐업,커피숍,031-941-5008,,,상수도전용
