영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,보마켓베이커리,제과점영업,2026-05-21,198993.290656501,448926.677926686,2026-05-22 03:03:03,U,02,폐업,20.5,,,,,,,,,2026-05-21 15:56:12,2020-11-23,20.50,140-733,서울특별시 용산구 이태원동 728 이태원주공아파트,N,,3020000-121-2020-00027,,3020000,"서울특별시 용산구 녹사평대로 286, 1층 102호 (이태원동, 이태원주공아파트)",04343,03,폐업,제과점영업,,,,상수도전용
,,몽블랑제 면목점,제과점영업,2026-05-21,207708.364765906,453525.741161528,2026-05-22 03:03:03,U,02,폐업,1.4,,,,,,,,,2026-05-21 13:39:30,2010-06-16,1.40,131-831,서울특별시 중랑구 면목동 499-4 1층,N,,3060000-121-2010-00007,,3060000,"서울특별시 중랑구 면목로 357 (면목동,1층)",02221,03,폐업,제과점영업,02-493-8545,,,
,,강경원베이커리,제과점영업,2026-05-21,204786.798142065,452551.619058358,2026-05-22 03:03:03,U,02,폐업,73.91,,,,,,,,,2026-05-21 09:33:05,2020-11-11,73.91,130-030,서울특별시 동대문구 답십리동 1012 답십리 뉴타운 카운티 에비뉴,N,,3050000-121-2020-00009,,3050000,"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 1층 110, 111호 (답십리동)",02541,03,폐업,제과점영업,,,,
,,파리바게뜨 신월사거리,제과점영업,,184773.372180974,448101.585239722,2026-05-22 03:03:03,U,01,영업,56.1,,,,,,,,,2026-05-21 16:38:13,2004-10-18,56.10,158-829,서울특별시 양천구 신월동 166-4 1층,N,,3140000-121-2004-00065,,3140000,"서울특별시 양천구 남부순환로 358, 1층 (신월동)",07910,01,영업/정상,제과점영업,02-2692-8295,,,
,,잼인 브레드,제과점영업,2026-05-21,191796.190270575,450397.646538836,2026-05-22 03:03:03,U,02,폐업,16,,,,,,,,,2026-05-21 16:55:18,2025-05-13,16.00,121-820,서울특별시 마포구 망원동 57-53,N,,3130000-121-2025-00021,,3130000,"서울특별시 마포구 월드컵로17길 36, 지1층 (망원동)",04012,03,폐업,제과점영업,,,,
,,배스킨라빈스 압구정역점,제과점영업,,202477.024361588,447126.432589574,2026-05-22 03:03:03,U,01,영업,133,,,,,,,,,2026-05-21 14:08:12,2023-06-15,99.47,135-894,서울특별시 강남구 신사동 610-2 영빌딩,N,,3220000-121-2023-00074,,3220000,"서울특별시 강남구 논현로 872, 영빌딩 지상1층 (신사동)",06022,01,영업/정상,제과점영업,02-2276-4868,,,
,,포슬,제과점영업,2026-05-21,209412.197809542,443928.783342251,2026-05-22 03:03:03,U,02,폐업,21.3,,,,,,,,,2026-05-21 09:03:47,2023-02-28,21.30,138-160,서울특별시 송파구 가락동 913 헬리오시티,N,,3230000-121-2023-00004,,3230000,"서울특별시 송파구 송파대로 345, 근린생활시설1B동 지하1층 B193호 (가락동, 헬리오시티)",05698,03,폐업,제과점영업,,,,
,,우나스,제과점영업,,205481.704254399,446174.290891195,2026-05-22 03:03:03,U,01,영업,147.87,,,,,,,,,2026-05-21 11:50:35,2012-10-10,123.09,135-872,서울특별시 강남구 삼성동 94-11,N,,3220000-121-2012-00047,,3220000,"서울특별시 강남구 영동대로118길 56, 지하1층, 지상1층 A호, 2층 (삼성동)",06081,01,영업/정상,제과점영업,,,,
,,요거블랑(Yogurt Blanc),제과점영업,,162913.054437093,443341.672752212,2026-05-22 03:03:03,U,01,영업,43.66,,,,,,,,,2026-05-21 17:02:47,2025-12-24,43.66,400-320,인천광역시 중구 중산동 1954-1 1층 108호,N,,3490000-121-2025-00025,,3490000,"인천광역시 중구 은하수로29번길 48, 1층 108호 (중산동)",22410,01,영업/정상,제과점영업,,,,상수도전용
,,몽블랑제인천논현점,제과점영업,2026-05-21,174345.744164753,433375.043521099,2026-05-22 03:03:03,U,02,폐업,11.8,,,,,,,,,2026-05-21 16:00:12,2009-05-27,11.80,405-825,인천광역시 남동구 논현동 636-1 제일프라자 105호일부,N,,3530000-121-2009-00009,,3530000,"인천광역시 남동구 논현로 42, 105호 (논현동, 제일프라자)",21655,03,폐업,제과점영업,032-433-8545,,,
